dataset,end-date,entity,entry-date,geojson,geometry,name,organisation-entity,point,prefix,quality,reference,start-date,typology,brownfield-land,deliverable,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-address,site-categories,site-plan-url
brownfield-land,,1700885,2016-11-07,,POINT (-1.57375 53.826734),SHL00001,195.0,POINT(-1.57375 53.826734),brownfield-land,authoritative,SHL00001,2016-11-07,geography,,yes,,0.51,9.0,9.0,,,not-owned-by-a-public-authority,,,not-permissioned,,,3 Monk Bridge Road Meanwood Leeds,,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00001
brownfield-land,2023-08-17,1700886,2016-11-07,,POINT (-1.591337 53.833527),SHL00004,195.0,POINT(-1.591337 53.833527),brownfield-land,authoritative,SHL00004,2016-11-07,geography,,yes,,1.22,13.0,13.0,"Part demolition and conversion of Spenfield to create 6 apartments and studio flat together with construction of 7 terraced dwellings on car park to the rear with associated boundary treatments, landscaping and car parking.",,not-owned-by-a-public-authority,2017-04-19,,permissioned,full-planning-permission,,Spenfield House Otley Road Headingley Leeds LS16 5,,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00004
brownfield-land,,1700887,2017-12-19,,POINT (-1.447005 53.864516),SHL00006,195.0,POINT(-1.447005 53.864516),brownfield-land,authoritative,SHL00006,2017-12-19,geography,,yes,,5.79,130.0,130.0,"Development of C2 care community comprising 172 units of accommodation with associated communal facilities through demolition of existing office buildings with part conversion and extension of Scarcroft Lodge together with new build accommodation and car parking; retention of existing lodges as dwellings (C3) with alterations; erection of two dwellings (C3); conversion of Woodlands into five apartments (C3); provision of associated infrastructure, landscaping and parking; formation of additional car parking area to serve existing cricket pitch",,not-owned-by-a-public-authority,2020-12-17,,not-permissioned,full-planning-permission,,Scarcroft Lodge Wetherby Road Scarcroft Leeds,,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00006
brownfield-land,2023-08-17,1700888,2016-11-07,,POINT (-1.636473 53.804596),SHL00009,195.0,POINT(-1.636473 53.804596),brownfield-land,authoritative,SHL00009,2016-11-07,geography,,yes,,0.69,25.0,25.0,Outline Application for residential development of 25No. units,,not-owned-by-a-public-authority,2014-03-11,,permissioned,outline-planning-permission,,Land North Of Morrisons Swinnow Road Swinnow Leeds,,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00009
brownfield-land,,1700889,2016-11-07,,POINT (-1.667648 53.790863),SHL00011,195.0,POINT(-1.667648 53.790863),brownfield-land,authoritative,SHL00011,2016-11-07,geography,,yes,,0.53,18.0,18.0,Erection of 23 dwelling houses,,not-owned-by-a-public-authority,2012-01-06,,permissioned,full-planning-permission,,Daytona Works Carlisle Road Pudsey Leeds LS28 8PL,,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00011
brownfield-land,2023-08-17,1700890,2016-11-07,,POINT (-1.670678 53.834418),SHL00012,195.0,POINT(-1.670678 53.834418),brownfield-land,authoritative,SHL00012,2016-11-07,geography,,yes,,7.86,127.0,127.0,"Reserved matters application for the erection of 120 dwellings, conversion of two buildings to form three dwellings, laying out of public open space and associated infrastructure",,not-owned-by-a-public-authority,2015-09-25,,permissioned,reserved-matters-approval,,Riverside Mill Low Hall Road Horsforth Leeds LS19,,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00012
brownfield-land,,1700891,2016-11-07,,POINT (-1.606751 53.826245),SHL00013,195.0,POINT(-1.606751 53.826245),brownfield-land,authoritative,SHL00013,2016-11-07,geography,,,,0.48,17.0,17.0,,,not-owned-by-a-public-authority,,,not-permissioned,,,Land At Vesper Road Kirkstall Leeds LS5 3NU,,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00013
brownfield-land,,1700892,2016-11-07,,POINT (-1.603814 53.799361),SHL00014,195.0,POINT(-1.603814 53.799361),brownfield-land,authoritative,SHL00014,2016-11-07,geography,,yes,,1.0,62.0,62.0,,,not-owned-by-a-public-authority,,,not-permissioned,,,Moorfield Road / Tower Works,,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00014
brownfield-land,,1700893,2016-11-07,,POINT (-1.658155 53.780392),SHL00017,195.0,POINT(-1.658155 53.780392),brownfield-land,authoritative,SHL00017,2016-11-07,geography,,yes,,1.32,21.0,21.0,Outline application for residential development of up to 21 dwellings,,not-owned-by-a-public-authority,2017-01-20,,permissioned,outline-planning-permission,,"South Park Mills, 15, 15a, 16 And 17, Acrivan Ltd, Fulneck",,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00017
brownfield-land,,1700894,2016-11-07,,POINT (-1.623161 53.841262),SHL00018,195.0,POINT(-1.623161 53.841262),brownfield-land,authoritative,SHL00018,2016-11-07,geography,,yes,,1.3,59.0,59.0,,,not-owned-by-a-public-authority,,,not-permissioned,,,Woodside Mill Low Lane Horsforth Leeds,,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00018
